Alloy,N(Ef),DH (eV),Structure,##,##.1,##.2,##.3,##.4,##.5,##.6,##.7,##.8,##.9,##.10,##.11,##.12,##.13,##.14,##.15,Mixing Enthalpy,VEC,Melting Temperature,Pauling Electronegativity,Entropy of Mixing,Radii Difference,Cr,Mo,W,V,Nb,Ta,Ti,Zr,Hf
Cr50Mo50,0.6514,3.483521884999959,BCC,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,0.0,6.0,2265.0,1.91,5.762825659175385,0.04119850187265911,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr50Nb50,0.9385,4.869895600000007,BCC,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-7.0,5.5,2192.0,1.63,5.762825659175385,0.06569343065693423,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
Cr50Ta50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-7.0,5.5,2462.0,1.58,5.762825659175385,0.06569343065693423,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
Cr50Ti50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-7.0,5.0,1787.5,1.6,5.762825659175385,0.06909090909090909,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
Cr50V50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-2.0,5.5,1908.5,1.645,5.762825659175385,0.02290076335877861,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
Cr50W50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,1.0,6.0,2664.5,2.01,5.762825659175385,0.04119850187265911,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Mo50Hf50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.0,5.0,2428.0,1.73,5.762825659175385,0.06711409395973161,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Mo50Nb50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-6.0,5.5,2550.0,1.88,5.762825659175385,0.024561403508771895,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
Mo50Ta50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-5.0,5.5,2820.0,1.83,5.762825659175385,0.024561403508771895,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
Mo50Ti50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.0,5.0,2145.5,1.85,5.762825659175385,0.02797202797202797,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
Mo50V50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,0.0,5.5,2266.5,1.895,5.762825659175385,0.01831501831501825,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
